title,rating,link
Дюна,8,https://www.kinoafisha.info/movies/8355204/
Прыгуны,7,https://www.kinoafisha.info/movies/8378455/
Я иду искать 2,7,https://www.kinoafisha.info/movies/8380980/
Проект «Конец света»,8,https://www.kinoafisha.info/movies/8377116/
На помощь!,7,https://www.kinoafisha.info/movies/8377822/
Крик 7,6,https://www.kinoafisha.info/movies/8373377/
Зверополис 2,7,https://www.kinoafisha.info/movies/8369679/
28 лет спустя: Часть II. Храм костей,7,https://www.kinoafisha.info/movies/8382856/
Цинга,7,https://www.kinoafisha.info/movies/8379139/
Горничная,7,https://www.kinoafisha.info/movies/8379479/
Выход 8,6,https://www.kinoafisha.info/movies/8381332/
Сталкер,7,https://www.kinoafisha.info/movies/8375647/
Счастливого нового дня смерти,6,https://www.kinoafisha.info/movies/8354748/
Счастливого дня смерти,7,https://www.kinoafisha.info/movies/8329969/
Ночная смена,6,https://www.kinoafisha.info/movies/8378757/
Тёмные окна,5,https://www.kinoafisha.info/movies/8371847/
Кукла,6,https://www.kinoafisha.info/movies/8178032/
Влюблённые глаза,6,https://www.kinoafisha.info/movies/8380661/
Запределье,8,https://www.kinoafisha.info/movies/3691652/
Дожить до рассвета,6,https://www.kinoafisha.info/movies/8377343/
28 лет спустя,7,https://www.kinoafisha.info/movies/8374815/
Достать ножи: Воскрешение покойника,8,https://www.kinoafisha.info/movies/8377054/
Битва за битвой,8,https://www.kinoafisha.info/movies/8374261/
Виды доброты,6,https://www.kinoafisha.info/movies/8375369/
Кочегар,7,https://www.kinoafisha.info/movies/8088545/
Поток,8,https://www.kinoafisha.info/movies/8377786/
TheatreHD: Пупелль из города дымоходов,8,https://www.kinoafisha.info/movies/8383696/
Эмилия Перес,5,https://www.kinoafisha.info/movies/8377382/
Долгая прогулка,7,https://www.kinoafisha.info/movies/8381231/
Кейпоп-охотницы на демонов,8,https://www.kinoafisha.info/movies/8381908/
Злое,6,https://www.kinoafisha.info/movies/8356680/
Варвар,7,https://www.kinoafisha.info/movies/8368078/
Черный телефон,7,https://www.kinoafisha.info/movies/8365473/
Пойман с поличным,7,https://www.kinoafisha.info/movies/8375626/
Дичь,6,https://www.kinoafisha.info/movies/8361040/
Прочь,8,https://www.kinoafisha.info/movies/8328182/
"Кловерфилд, 10",7,https://www.kinoafisha.info/movies/8322634/
Монстро,7,https://www.kinoafisha.info/movies/3338982/
Парковка,6,https://www.kinoafisha.info/movies/3229746/
Кукловод,5,https://www.kinoafisha.info/movies/8355171/
Школьный автобус,7,https://www.kinoafisha.info/movies/8382033/
Не дыши,7,https://www.kinoafisha.info/movies/8178509/
Одержимые злом,7,https://www.kinoafisha.info/movies/8372387/
Проклятие Аннабель: зарождение зла,7,https://www.kinoafisha.info/movies/8326407/
Проклятие Аннабель,6,https://www.kinoafisha.info/movies/8165166/
Орудия,8,https://www.kinoafisha.info/movies/8376447/
Проклятие монахини 2,6,https://www.kinoafisha.info/movies/8367013/
Проклятие монахини,5,https://www.kinoafisha.info/movies/8329189/
Вертикальный предел,6,https://www.kinoafisha.info/movies/8328532/
Бэтмен,8,https://www.kinoafisha.info/movies/8355224/
Рассвет мертвецов,7,https://www.kinoafisha.info/movies/5552/
Район №9,8,https://www.kinoafisha.info/movies/6660732/
Титаник,8,https://www.kinoafisha.info/movies/3577360/
Типа крутые легавые,8,https://www.kinoafisha.info/movies/1090229/
Признания,8,https://www.kinoafisha.info/movies/8365701/
Зомби по имени Шон,8,https://www.kinoafisha.info/movies/8144392/
28 недель спустя,7,https://www.kinoafisha.info/movies/1300828/
28 дней спустя,8,https://www.kinoafisha.info/movies/5483/
Пролетая над гнездом кукушки,9,https://www.kinoafisha.info/movies/236197/
Ловушка,6,https://www.kinoafisha.info/movies/8372864/
Никто не выжил,6,https://www.kinoafisha.info/movies/8127251/
Стук в дверь,6,https://www.kinoafisha.info/movies/8365514/
Время,6,https://www.kinoafisha.info/movies/8360893/
"Не беспокойся, дорогая",6,https://www.kinoafisha.info/movies/8364428/
Шары ярости,5,https://www.kinoafisha.info/movies/1237758/
Грибы 3D,5,https://www.kinoafisha.info/movies/8123405/
Грибы,5,https://www.kinoafisha.info/movies/1453032/
Огни большого города,9,https://www.kinoafisha.info/movies/3761153/
Охота,7,https://www.kinoafisha.info/movies/8355955/
На краю,5,https://www.kinoafisha.info/movies/8368606/
Верни её из мертвых,7,https://www.kinoafisha.info/movies/8376684/
Гадкая сестра,7,https://www.kinoafisha.info/movies/8381113/
Злая: Сказка о ведьме Запада,7,https://www.kinoafisha.info/movies/8327464/
Отступники,9,https://www.kinoafisha.info/movies/923488/
Грешники,8,https://www.kinoafisha.info/movies/8375497/
Пункт назначения: Узы крови,7,https://www.kinoafisha.info/movies/8375216/
Плезантвиль,8,https://www.kinoafisha.info/movies/3922833/
Майнкрафт в кино,6,https://www.kinoafisha.info/movies/8327751/
Треугольник,7,https://www.kinoafisha.info/movies/7786150/
Вышка,6,https://www.kinoafisha.info/movies/8367222/
Ловушка,5,https://www.kinoafisha.info/movies/7667727/
Пропавшая,6,https://www.kinoafisha.info/movies/8362012/
Реинкарнация,7,https://www.kinoafisha.info/movies/8354351/
Еретик,7,https://www.kinoafisha.info/movies/8377146/
Омен. Непорочная,6,https://www.kinoafisha.info/movies/8368076/
Обезьяна,6,https://www.kinoafisha.info/movies/8375654/
Бедные-несчастные,8,https://www.kinoafisha.info/movies/8370743/
Уоллес и Громит: Проклятие Кролика-Оборотня,8,https://www.kinoafisha.info/movies/419453/
Компаньон,7,https://www.kinoafisha.info/movies/8377048/
Хэллфест,6,https://www.kinoafisha.info/movies/8354892/
Все мои друзья мертвы,5,https://www.kinoafisha.info/movies/8376148/
Иван Грозный,8,https://www.kinoafisha.info/movies/3997318/
Арт-лекторий: Глазами Джейми Уайета,8,https://www.kinoafisha.info/movies/8379568/
Подай знак,7,https://www.kinoafisha.info/movies/8374243/
Сфера,6,https://www.kinoafisha.info/movies/5165263/
Конклав,7,https://www.kinoafisha.info/movies/8375214/
Реальные зомби,5,https://www.kinoafisha.info/movies/8372887/
Улыбка 2,7,https://www.kinoafisha.info/movies/8372933/
Улыбка,7,https://www.kinoafisha.info/movies/8367293/
Психиатрическая больница Конджиам,7,https://www.kinoafisha.info/movies/8366931/
День Святого Валентина,5,https://www.kinoafisha.info/movies/3641921/
Анора,8,https://www.kinoafisha.info/movies/8372847/
Носферату,8,https://www.kinoafisha.info/movies/8367926/
"Носферату, симфония ужаса",8,https://www.kinoafisha.info/movies/3638322/
Маяк,7,https://www.kinoafisha.info/movies/8355383/
Субстанция,7,https://www.kinoafisha.info/movies/8366535/
TheatrHD: Венская опера: Турандот,9,https://www.kinoafisha.info/movies/8379685/
Мейбридж: Поймать движение,7,https://www.kinoafisha.info/movies/8375963/
Нет,7,https://www.kinoafisha.info/movies/8365057/
Астрал. Онлайн,7,https://www.kinoafisha.info/movies/8361424/
Полночь с дьяволом,7,https://www.kinoafisha.info/movies/8375072/
Королевская битва,8,https://www.kinoafisha.info/movies/7756263/
TheatreHD: Ноймайер: Стеклянный зверинец,9,https://www.kinoafisha.info/movies/8379201/
Собиратель душ,7,https://www.kinoafisha.info/movies/8368248/
Кукушка,6,https://www.kinoafisha.info/movies/8374762/
Зона интересов,7,https://www.kinoafisha.info/movies/8371213/
Головоломка 2,8,https://www.kinoafisha.info/movies/8367726/
Эффект Пигмалиона,9,https://www.kinoafisha.info/movies/8378385/
Чужой: Ромул,7,https://www.kinoafisha.info/movies/8370568/
Чужой: Завет,6,https://www.kinoafisha.info/movies/8322125/
Прометей,7,https://www.kinoafisha.info/movies/8136355/
Зальцбург: Фальстаф,9,https://www.kinoafisha.info/movies/8378384/
Чужой 4: Воскрешение,6,https://www.kinoafisha.info/movies/5811126/
Чужой 3,6,https://www.kinoafisha.info/movies/5811338/
Чужие,8,https://www.kinoafisha.info/movies/5411374/
Чужой,9,https://www.kinoafisha.info/movies/4722633/
Без обид,6,https://www.kinoafisha.info/movies/8365547/
Я иду искать,7,https://www.kinoafisha.info/movies/8356295/
Зальцбург: Макбет,9,https://www.kinoafisha.info/movies/8377819/
Белая лента,8,https://www.kinoafisha.info/movies/7753846/
Эбигейл,7,https://www.kinoafisha.info/movies/8373924/
L.A.D.,9,https://www.kinoafisha.info/movies/8377415/
Безумная свадьба,7,https://www.kinoafisha.info/movies/8164242/
Паутина страха,6,https://www.kinoafisha.info/movies/8372056/
Неожиданные связи,6,https://www.kinoafisha.info/movies/8374441/
Унесенные призраками,9,https://www.kinoafisha.info/movies/1250373/
Джентльмены удачи,8,https://www.kinoafisha.info/movies/5435753/
На последнем дыхании,8,https://www.kinoafisha.info/movies/330061/
Выживут только любовники,7,https://www.kinoafisha.info/movies/8137803/
Шоссе в никуда,8,https://www.kinoafisha.info/movies/8091635/
